Quality	#1 ID	#2 ID	#1 String	#2 String
1	213302	213135	The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .	The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .
0	1963350	1963106	A former teammate , Carlton Dotson , has been charged with the murder .	His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .
1	3035675	3035707	Several of the questions asked by the audience in the fast-paced forum were new to the candidates .	Several of the audience questions were new to the candidates as well .
1	622300	622384	Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November .	The global death toll from SARS was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern China in November .
0	962311	962987	The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime .	Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .
0	2506257	2506206	The women then had follow-up examinations after five , 12 and 24 years .	The women had follow-up examinations in 1974-75 , 1980-81 and 1992-93 , but were not asked about stress again .
0	221038	221083	The Embraer jets are scheduled to be delivered by September 2006 .	The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006 .
1	1097577	1097664	Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . "	Ellison said that contrary to the contentions of PeopleSoft management , Oracle intends to " fully support PeopleSoft customers and products " for many years to come .
0	218017	218035	Application Intelligence will be included as part of the company 's SmartDefense application , which is included with Firewall-1 .	The new application intelligence features will be available June 3 and are included with the SmartDefense product , which comes with FireWall-1 .
0	2277501	2277502	American Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed .	Note the subheading of this terrible parable in the " American Masters " series , " Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . "
1	423245	423228	The downtime , to take place in May and June , is expected to cut production by 60 million to 70 million board feet .	The downtime is expected to take 60 million to 70 million board feet out of the companys system .
1	1336931	1336883	On July 3 , Troy is expected to be sentenced to life in prison without parole .	Troy faces life in prison without parole at his July 30 sentencing .
1	2208366	2208492	The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .	The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates .
1	2405153	2405189	The processors were announced in San Jose at the Intel Developer Forum .	The new processor was unveiled at the Intel Developer Forum 2003 in San Jose , Calif .
0	3334905	3334946	The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call " disturbing " abuse of juveniles and " unconscionable " conditions at two state-run facilities .	The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi , alleging abuse of juvenile offenders at two state-run facilities .
1	1641162	1641062	It said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .	The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia 's thermal armour during its fatal re-entry .
1	244062	243899	Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , " Long Day 's Journey Into Night . "	Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . "
1	2070455	2070493	But Secretary of State Colin Powell brushed off this possibility Wednesday .	Secretary of State Colin Powell last week ruled out a non-aggression treaty .
1	1996069	1996101	Thomas and Tauzin say , as do many doctors , that the Bush administration has the power to correct some of those flaws .	Like many doctors , Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws .
1	23807	23792	Based on experience elsewhere , it could take up to two years before regular elections are held , he added .	U.S. military officials have said it could take up to two years before regular elections are held , based on experiences elsewhere in the world .
1	1211287	1210972	The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug Administration yesterday .	The first biotechnology treatment for asthma , the constriction of the airways that affects millions of Americans , received approval from the U.S. Food and Drug Administration on Friday .
1	2512758	2512692	FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .	A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations .
0	3183829	3183863	Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday .	Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end .
1	3257588	3257537	The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway .	Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz , about two miles from the freeway .
0	1321343	1321577	The Dow Jones Industrial Average ended down 128 points , or 1.4 % , at 9073 , while the Nasdaq fell 34 points , or 2.1 % , to 1610 .	In early trading , the Dow Jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on Tuesday .
1	2560856	2560808	PDC will also almost certainly fan the flames of speculation about Longhorn 's release .	PDC will also almost certainly reignite speculation about release dates of Microsoft 's new products .
1	2728434	2728420	Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .	It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .
1	3277643	3277659	NEC is pitching its wireless gear and management software to a variety of industries , including health care and hospitality .	NEC 's pitching its wireless gear and management software to a variety of industries , including healthcare and hospitality , a company spokesman said .
1	2621134	2621174	Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .	ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .
1	2529661	2529575	" We are declaring war on sexual harassment and sexual assault .	" We have declared war on sexual assault and sexual harassment , " Rosa said .
0	953744	953727	The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .	The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646 .
0	1268733	1268445	The dollar was at 117.85 yen against the Japanese currency , up 0.1 percent .	Against the Swiss franc the dollar was at 1.3289 francs , up 0.5 percent on the day .
1	304482	304430	El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .	El Watan , an Algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing Kalashnikov rifles .
0	472952	472535	But Mitsubishi Tokyo Financial ( JP : 8306 : news , chart , profile ) declined 3,000 yen , or 0.65 percent , to 456,000 yen .	Sumitomo Mitsui Financial ( JP : 8316 : news , chart , profile ) was down 2.5 percent at 198,000 yen .
0	3119349	3119343	" We 're just dealing with bragging rights here , who wins and who loses . "	" Leaving aside attorney fees , we 're dealing with bragging rights of who wins and who loses , " said Gammerman .
1	224868	225233	Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .	Shares of Hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading .
0	2678208	2678191	This Palm OS smart phone is the last product the company will release before it becomes a part of palmOne .	This was almost certainly its last full quarter before the company becomes a part of Palm .
0	1177915	1178039	And they think the protein probably is involved in the spread of other forms of cancer .	They researchers say the research could be relevant to other forms of cancer .
1	129193	129302	Tokyo Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports .	Tokyo Electric Power Co . , Asia 's largest power company , restarted the first of 17 nuclear reactors it shut down after admitting it falsified inspection reports .
1	2843951	2843930	Tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 .	For the current academic year , tuition at public colleges averaged $ 4,694 , up almost $ 600 from the year before .
0	1849508	1849367	Security lights have also been installed and police have swept the grounds for booby traps .	Security lights have also been installed on a barn near the front gate .
1	2624848	2624568	He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the region .	Mr Jouejati said that with the US-backed road map " in a coma " the attack could easily widen through the region .
1	2293340	2293455	A successful attack could be launched within any type of document that supports VBA , including Microsoft Word , Excel or PowerPoint .	But this could happen with any document format that supports VBA , including Word , Excel or PowerPoint .
1	2750203	2750153	Officials at Brandeis said this was an " extremely heartrending " time for the campus .	" This is an extremely heartrending time for the entire Brandeis University community .
0	2622625	2622698	" If that ain 't a Democrat , I must be at the wrong meeting , " he said .	And if that ain 't a Democrat , then I must be in the wrong meeting , " he said to thunderous applause from his supporters .
1	1946553	1946598	Fewer than a dozen FBI agents were dispatched to secure and analyze evidence .	Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing .
1	2216702	2216672	Those who only had surgery lived an average of 46 months .	For those who got surgery alone , median survival was 41 months .
1	742090	742015	Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .	Tonight a spokesman for the Russian Foreign Ministry said it might issue a statement on Thursday clarifying Russia 's position on aiding Iran 's nuclear-energy efforts .
1	1795859	1795818	A day earlier , a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi 's death .	A day earlier , a committee appointed by President Mohammad Khatami had called for an independent inquiry into the 54-year-old photojournalist 's death .
1	2592956	2592914	The suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .	The suite includes a word processor , spreadsheet , presentation application ( analogous to PowerPoint ) , and other components -- all built around the XML file format .
1	2845442	2845257	Downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .	The Skagit was expected to crest during the night at 38 feet at Mount Vernon , 10 feet above flood stage , the National Weather Service said .
